--- Terminal on /dev/ttyUSB0 | 115200 8-N-1
--- Available filters and text transformations: debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
83116,1926,1900,0,0,4094,4094
83199,1928,1902,0,0,3636,3636
83281,1928,1893,0,0,0,0
83362,1928,1901,0,0,0,0
83445,1931,1901,0,0,0,0
83527,1926,1898,0,0,0,0
83609,1922,1898,0,0,4094,4094
83691,1924,1898,0,0,4094,4094
83773,1933,1894,0,0,4094,4094
83855,1930,1896,0,0,4094,4094
83937,1930,1899,0,0,4094,4094
84019,1930,1899,0,0,4065,4065
84101,1930,1899,0,0,0,0
84182,1927,1902,0,0,0,0
84265,1927,1892,0,0,0,0
84346,1927,1900,0,0,0,0
84429,1927,1903,0,0,4094,4094
84511,1928,1901,0,0,4094,4094
84593,1925,1897,0,0,4094,4094
84675,1926,1896,0,0,4094,4094
84757,1935,1909,0,0,4094,4094
84839,1935,1906,0,0,2511,2511
84920,1923,1912,0,0,0,0
85003,1923,1907,0,0,0,0
85084,1923,1906,0,0,0,0
85167,1926,1906,0,0,32,32
85248,1925,1904,0,0,2749,2749
85331,1925,1902,0,0,4094,4094
85412,1928,1901,0,0,4094,4094
85495,1928,1900,0,0,4094,4094
85577,1918,1897,0,0,1779,1779
85658,1925,1897,0,0,0,0
85741,1925,1898,0,0,0,0
85823,1932,1898,0,0,0,0
85905,1932,1898,0,0,0,0
85987,1932,1898,0,0,1918,1918
86068,1930,1898,0,0,4094,4094
86151,1930,1896,0,0,4094,4094
86232,1930,1896,0,0,4094,4094
86315,1928,1896,0,0,4094,4094
86397,1928,1897,0,0,3984,3984
86479,1928,1888,0,0,0,0
